Heading,Time,Vas/GLMS Result,Question,Low Anchor, High Anchor, Low Value, High Value
Vas,2024.06.12.09.15.25.242,51,Think about walking in the rain. How much do you like walking in the rain?,Dislike extremely,Like extremely,0,100
Vas,2024.06.12.09.15.41.194,53,Think about watching your favourite movie. How much do you like watching your favourite movie?,Dislike extremely,Like extremely,0,100
Vas,2024.06.12.09.16.12.221,51,Think about a warm fire on a cold day. How much do you like a warm fire on a cold day?,Dislike extremely,Like extremely,0,100
Vas,null,50,Think about the sound of a car alarm. How much do you like the sound of a car alarm?,Dislike extremely,Like extremely,0,100
GLMS ,2024.06.12.09.16.57.089,10,3175,Think of listening to a heavy metal song with headphones on maximum volume.
GLMS ,2024.06.12.09.17.04.194,3,6508,Think of staring directly at the sun through binoculars
Vas,null,50,How hungry are you right now?,Not at all hungry,Extremely hungry,0,100
Vas,2024.06.12.09.17.26.565,51,How full are you right now?,Not at all full,Extremely full,0,100
Vas,2024.06.12.09.17.34.563,51,How thirsty are you right now?,Not at all thirsty,Extremely thirsty,0,100
Vas,2024.06.12.09.17.40.918,100,How happy are you right now?,Not at all happy,Extremely happy,0,100
Vas,2024.06.12.09.17.45.732,100,How anxious are you right now?,Not at all anxious,Extremely anxious,0,100
Vas,2024.06.12.09.17.49.795,100,How tired are you right now?,Not at all tired,Extremely tired,0,100
Vas,null,50,How much do you like Sample 667?,Dislike extremely,Like extremely,0,100
GLMS ,2024.06.12.09.19.22.383,7,6190,How sweet is Sample 667?
GLMS ,2024.06.12.09.19.58.099,100,0000,How bitter is Sample 667?
GLMS ,2024.06.12.09.20.17.041,17,9365,How sour is Sample 667?
GLMS ,2024.06.12.09.20.24.671,7,9365,How salty is Sample 667?
Vas,2024.06.12.09.20.38.611,50,How much do you like Sample 312?,Dislike extremely,Like extremely,0,100
GLMS ,2024.06.12.09.21.17.135,1,9048,How sweet is Sample 312?
GLMS ,2024.06.12.09.21.21.667,2,8571,How bitter is Sample 312?
GLMS ,2024.06.12.09.21.25.269,2,5397,How sour is Sample 312?
GLMS ,2024.06.12.09.21.28.156,1,2698,How salty is Sample 312?
Vas,2024.06.12.09.24.43.937,49,How much do you like Sample 265?,Dislike extremely,Like extremely,0,100
GLMS ,2024.06.12.09.25.00.175,2,3810,How sweet is Sample 265?
GLMS ,2024.06.12.09.25.05.225,4,1270,How bitter is Sample 265?
GLMS ,2024.06.12.09.25.07.583,3,9683,How sour is Sample 265?
GLMS ,2024.06.12.09.25.09.605,2,8571,How salty is Sample 265?
Vas,null,50,How much do you like Sample 720?,Dislike extremely,Like extremely,0,100
GLMS ,2024.06.12.09.25.22.506,1,2698,How sweet is Sample 720?
GLMS ,2024.06.12.09.25.25.682,0,9524,How bitter is Sample 720?
GLMS ,2024.06.12.09.25.28.730,1,5873,How sour is Sample 720?
GLMS ,2024.06.12.09.25.32.277,1,2698,How salty is Sample 720?
